DATE,DEXJPUS
1990-01-01,
1990-01-02,146.25
1990-01-03,145.7
1990-01-04,143.37
1990-01-05,143.82
1990-01-08,144.1
1990-01-09,145.2
1990-01-10,145.25
1990-01-11,145.4
1990-01-12,145.4
1990-01-15,
1990-01-16,145.48
1990-01-17,145.49
1990-01-18,146.12
1990-01-19,145.65
1990-01-22,146.43
1990-01-23,146.09
1990-01-24,145.32
1990-01-25,144.42
1990-01-26,143.35
1990-01-29,143.13
1990-01-30,144.1
1990-01-31,144.55
1990-02-01,144.9
1990-02-02,145.38
1990-02-05,145.39
1990-02-06,145.13
1990-02-07,145.47
1990-02-08,145.4
1990-02-09,145.2
1990-02-12,144.2
1990-02-13,144.4
1990-02-14,144.27
1990-02-15,144.4
1990-02-16,144.15
1990-02-19,
1990-02-20,145.45
1990-02-21,145.32
1990-02-22,145.89
1990-02-23,146.92
1990-02-26,148.85
1990-02-27,148.63
1990-02-28,148.82
1990-03-01,149.67
1990-03-02,150.28
1990-03-05,149.78
1990-03-06,149.8
1990-03-07,151.22
1990-03-08,150.83
1990-03-09,151.34
1990-03-12,152.38
1990-03-13,152.55
1990-03-14,152.24
1990-03-15,152.55
1990-03-16,152.38
1990-03-19,153.5
1990-03-20,153.88
1990-03-21,154.16
1990-03-22,155.1
1990-03-23,153.9
1990-03-26,156.5
1990-03-27,157.4
1990-03-28,158.75
1990-03-29,156.75
1990-03-30,157.82
1990-04-02,158.9
1990-04-03,159.13
1990-04-04,158.6
1990-04-05,157.68
1990-04-06,157.65
1990-04-09,157.5
1990-04-10,158.58
1990-04-11,158.28
1990-04-12,158.19
1990-04-13,158.75
1990-04-16,159.37
1990-04-17,159.9
1990-04-18,159.1
1990-04-19,156.5
1990-04-20,157.85
1990-04-23,157.7
1990-04-24,158.72
1990-04-25,158.73
1990-04-26,158.75
1990-04-27,158.9
1990-04-30,158.85
1990-05-01,158.85
1990-05-02,158.3
1990-05-03,158.15
1990-05-04,158.35
1990-05-07,158.0
1990-05-08,157.9
1990-05-09,156.45
1990-05-10,157.0
1990-05-11,152.73
1990-05-14,152.77
1990-05-15,151.4
1990-05-16,151.43
1990-05-17,152.35
1990-05-18,152.85
1990-05-21,153.53
1990-05-22,151.6
1990-05-23,151.23
1990-05-24,151.55
1990-05-25,149.69
1990-05-28,
1990-05-29,150.88
